blocksize,elapsed_time
blocksize,elapsed_time
0,2.4666e-05
1,2.5488e-05
2,2.5498e-05
3,2.5528e-05
4,2.629e-05
5,2.5438e-05
6,2.5909e-05
7,2.5598e-05
8,2.5869e-05
9,2.5187e-05
10,2.4977e-05
11,2.4596e-05
12,2.4656e-05
13,2.2613e-05
14,2.5608e-05
15,2.4857e-05
16,2.4436e-05
17,2.4757e-05
18,2.4666e-05
19,2.4426e-05
20,2.5418e-05
blocksize,elapsed_time
0,2.631e-05
1,3.3272e-05
2,2.6309e-05
3,2.6279e-05
4,2.5909e-05
5,2.67e-05
6,2.5809e-05
7,2.5809e-05
8,2.5037e-05
9,2.5689e-05
10,2.651e-05
11,2.6209e-05
12,2.5518e-05
13,2.5809e-05
14,2.6741e-05
15,2.6881e-05
16,2.5428e-05
17,2.5939e-05
18,2.5478e-05
19,2.6981e-05
20,2.6951e-05
blocksize,elapsed_time
0,2.6791e-05
1,2.686e-05
2,2.637e-05
3,2.676e-05
4,2.6831e-05
5,2.65e-05
6,2.6851e-05
7,2.685e-05
8,2.7292e-05
9,2.6039e-05
10,2.6671e-05
11,2.6921e-05
12,2.5818e-05
13,2.607e-05
14,2.7211e-05
15,2.6029e-05
16,2.645e-05
17,2.674e-05
18,2.5558e-05
19,2.659e-05
20,2.6179e-05
blocksize,elapsed_time
0,2.7051e-05
1,2.6249e-05
2,2.9355e-05
3,2.7422e-05
4,2.5778e-05
5,2.7432e-05
6,2.65e-05
7,2.7572e-05
8,2.652e-05
9,2.6269e-05
10,2.7e-05
11,2.64e-05
12,2.643e-05
13,2.66e-05
14,2.6169e-05
15,2.6911e-05
16,2.5788e-05
17,2.638e-05
18,2.6901e-05
19,2.7972e-05
20,2.8404e-05
blocksize,elapsed_time
0,2.6149e-05
1,2.5748e-05
2,2.6911e-05
3,2.67e-05
4,2.5608e-05
5,2.6109e-05
6,2.5608e-05
7,2.5939e-05
8,2.5759e-05
9,2.5908e-05
10,2.687e-05
11,2.616e-05
12,2.621e-05
13,2.5788e-05
14,2.7142e-05
15,2.6329e-05
16,2.637e-05
17,2.6299e-05
18,2.5748e-05
19,2.691e-05
20,2.5829e-05
blocksize,elapsed_time
0,2.7612e-05
1,2.7421e-05
2,2.7642e-05
3,2.8063e-05
4,2.679e-05
5,2.7982e-05
6,2.675e-05
7,2.7912e-05
8,2.7502e-05
9,2.8323e-05
10,2.8373e-05
11,2.8193e-05
12,2.9736e-05
13,3.0297e-05
14,2.8504e-05
15,2.8684e-05
16,2.8374e-05
17,2.7813e-05
18,2.8554e-05
19,2.8224e-05
20,2.7832e-05
blocksize,elapsed_time
0,2.9285e-05
1,2.7923e-05
2,2.8854e-05
3,2.7502e-05
4,2.8092e-05
5,2.7222e-05
6,2.9235e-05
7,2.7782e-05
8,2.7882e-05
9,2.8103e-05
10,2.7862e-05
11,2.7702e-05
12,2.8133e-05
13,2.8223e-05
14,2.9596e-05
15,2.9044e-05
16,2.8143e-05
17,2.7842e-05
18,2.9706e-05
19,2.7351e-05
20,2.9185e-05
blocksize,elapsed_time
0,2.8563e-05
1,2.8895e-05
2,2.8423e-05
3,2.8604e-05
4,2.9656e-05
5,2.8584e-05
6,2.9275e-05
7,2.9896e-05
8,2.9485e-05
9,2.8574e-05
10,2.8623e-05
11,2.8203e-05
12,2.8664e-05
13,2.8914e-05
14,2.9055e-05
15,2.8734e-05
16,2.9726e-05
17,2.7972e-05
18,2.8544e-05
19,2.9505e-05
20,2.9395e-05
blocksize,elapsed_time
0,2.8634e-05
1,2.8324e-05
2,2.8624e-05
3,2.7862e-05
4,2.8975e-05
5,2.9816e-05
6,2.9956e-05
7,2.8464e-05
8,2.9595e-05
9,2.9636e-05
10,2.9135e-05
11,2.9275e-05
12,2.8634e-05
13,2.9726e-05
14,2.8814e-05
15,2.8364e-05
16,2.7833e-05
17,2.8364e-05
18,2.9024e-05
19,2.8324e-05
20,2.8765e-05
blocksize,elapsed_time
0,3.0627e-05
1,2.9877e-05
2,3.1158e-05
3,2.9916e-05
4,3.0538e-05
5,3.0087e-05
6,4.3462e-05
7,3.0508e-05
8,2.9486e-05
9,3.0507e-05
10,2.9686e-05
11,3.148e-05
12,3.2602e-05
13,3.0478e-05
14,3.0247e-05
15,2.8955e-05
16,2.9375e-05
17,3.0738e-05
18,2.9896e-05
19,3.0507e-05
20,2.9996e-05
blocksize,elapsed_time
0,3.183e-05
1,3.0577e-05
2,3.1449e-05
3,3.0488e-05
4,3.1129e-05
5,3.0186e-05
6,3.1439e-05
7,3.215e-05
8,3.0648e-05
9,3.0728e-05
10,3.0638e-05
11,3.0888e-05
12,3.0628e-05
13,3.18e-05
14,2.9786e-05
15,3.0497e-05
16,3.0367e-05
17,3.1289e-05
18,3.0648e-05
19,3.1088e-05
20,3.0537e-05
blocksize,elapsed_time
0,3.2001e-05
1,3.0528e-05
2,3.1299e-05
3,3.1259e-05
4,3.0878e-05
5,3.1489e-05
6,3.0858e-05
7,3.156e-05
8,3.1499e-05
9,3.1239e-05
10,3.0096e-05
11,3.1469e-05
12,3.1399e-05
13,3.186e-05
14,3.0738e-05
15,3.1088e-05
16,3.0878e-05
17,3.0347e-05
18,3.0848e-05
19,3.1359e-05
20,3.0607e-05
blocksize,elapsed_time
0,3.0187e-05
1,2.9786e-05
2,3.0147e-05
3,2.8424e-05
4,2.8904e-05
5,2.9145e-05
6,2.9616e-05
7,2.8504e-05
8,2.9966e-05
9,2.8374e-05
10,2.9987e-05
11,2.9666e-05
12,2.9926e-05
13,2.8714e-05
14,3.0007e-05
15,2.9696e-05
16,3.0347e-05
17,2.8824e-05
18,3.0738e-05
19,2.9746e-05
20,2.9506e-05
blocksize,elapsed_time
0,3.3433e-05
1,3.3573e-05
2,3.2851e-05
3,3.3543e-05
4,3.4004e-05
5,3.4225e-05
6,3.2491e-05
7,3.3283e-05
8,3.2381e-05
9,3.4806e-05
10,3.3453e-05
11,3.218e-05
12,3.5978e-05
13,3.2682e-05
14,3.3494e-05
15,3.4515e-05
16,3.3182e-05
17,3.3113e-05
18,3.3784e-05
19,3.5126e-05
20,3.4775e-05
blocksize,elapsed_time
0,3.6549e-05
1,3.7811e-05
2,3.8312e-05
3,3.8171e-05
4,3.8332e-05
5,4.0165e-05
6,3.9334e-05
7,4.2329e-05
8,3.8432e-05
9,3.7832e-05
10,3.5607e-05
11,3.5306e-05
12,3.4605e-05
13,4.1348e-05
14,3.6529e-05
15,3.4736e-05
16,3.2922e-05
17,3.3232e-05
18,3.8473e-05
19,3.8412e-05
20,3.9754e-05
blocksize,elapsed_time
0,3.6819e-05
1,3.4375e-05
2,3.743e-05
3,3.705e-05
4,3.727e-05
5,3.5718e-05
6,3.708e-05
7,3.5096e-05
8,3.4335e-05
9,3.3733e-05
10,3.4154e-05
11,3.3493e-05
12,3.4465e-05
13,3.3393e-05
14,3.5367e-05
15,3.9895e-05
16,3.735e-05
17,3.4495e-05
18,3.5066e-05
19,3.4175e-05
20,3.4465e-05
blocksize,elapsed_time
0,3.4064e-05
1,3.6318e-05
2,3.74e-05
3,3.5417e-05
4,3.4605e-05
5,3.4304e-05
6,3.3153e-05
7,3.7411e-05
8,3.4375e-05
9,3.3554e-05
10,3.2481e-05
11,3.4475e-05
