blocksize,elapsed_time
83,1.4928e-05
84,1.4788e-05
85,1.4718e-05
86,1.4728e-05
87,1.4868e-05
88,1.4938e-05
89,1.4858e-05
90,1.4838e-05
91,1.4948e-05
92,1.4397e-05
93,1.4718e-05
94,1.6141e-05
95,1.4738e-05
96,1.6341e-05
97,1.4818e-05
98,1.5869e-05
99,1.4798e-05
blocksize,elapsed_time
0,1.6291e-05
1,1.542e-05
2,1.4637e-05
3,1.4788e-05
4,1.5299e-05
5,1.6231e-05
6,1.5339e-05
7,1.4597e-05
8,1.5389e-05
9,1.6411e-05
10,2.152e-05
11,2.5769e-05
12,1.617e-05
13,1.5248e-05
14,1.5439e-05
15,1.5268e-05
16,1.5449e-05
17,1.6922e-05
18,1.5619e-05
19,1.5289e-05
20,1.5279e-05
21,1.4878e-05
22,1.6431e-05
23,1.5299e-05
24,1.5239e-05
25,1.5239e-05
26,1.5008e-05
27,1.6431e-05
28,1.6101e-05
29,1.547e-05
30,1.5299e-05
31,1.4818e-05
32,1.6261e-05
33,1.5339e-05
34,1.4667e-05
35,1.4788e-05
36,1.5499e-05
37,1.6081e-05
38,1.5228e-05
39,1.5529e-05
40,1.5459e-05
41,1.5249e-05
42,1.6391e-05
43,1.5269e-05
44,1.5249e-05
45,1.5289e-05
46,1.5329e-05
47,1.566e-05
48,1.5459e-05
49,1.6791e-05
50,1.5329e-05
51,1.5199e-05
52,1.5319e-05
53,1.4918e-05
54,1.6421e-05
55,1.5369e-05
56,1.5479e-05
57,1.5278e-05
58,1.5168e-05
59,1.6291e-05
60,1.5429e-05
61,1.5308e-05
62,1.5369e-05
63,1.4838e-05
64,1.6221e-05
65,1.5369e-05
66,1.4758e-05
67,1.5369e-05
68,1.5629e-05
69,1.6381e-05
70,1.5419e-05
71,1.8745e-05
72,1.8575e-05
73,1.9808e-05
74,1.6591e-05
75,1.5359e-05
76,1.4578e-05
77,1.5359e-05
78,1.5248e-05
79,1.5369e-05
80,1.5369e-05
81,1.6832e-05
82,1.5199e-05
83,1.4728e-05
