blocksize,elapsed_time
14,1.6962e-05
15,1.6632e-05
16,1.6792e-05
17,1.6701e-05
18,1.6851e-05
19,1.7503e-05
20,1.7914e-05
blocksize,elapsed_time
0,1.7663e-05
1,1.7583e-05
2,1.7252e-05
3,1.8044e-05
4,1.7913e-05
5,1.8084e-05
6,1.7603e-05
7,1.7293e-05
8,1.6782e-05
9,1.7714e-05
10,1.6752e-05
11,1.7182e-05
12,1.7453e-05
13,1.9347e-05
14,2.0939e-05
15,2.5138e-05
16,2.1571e-05
17,2.3745e-05
18,2.114e-05
19,2.108e-05
20,2.1621e-05
blocksize,elapsed_time
0,2.1531e-05
1,1.9015e-05
2,1.8235e-05
3,1.7333e-05
4,1.9848e-05
5,1.7704e-05
6,1.8565e-05
7,1.7082e-05
8,1.6652e-05
9,1.8335e-05
10,1.7423e-05
11,1.8314e-05
12,2.0298e-05
13,1.7032e-05
14,1.9857e-05
15,1.9046e-05
16,1.8745e-05
17,1.7663e-05
18,1.7824e-05
19,1.7303e-05
20,1.6641e-05
blocksize,elapsed_time
0,1.6521e-05
1,1.8455e-05
2,2.0779e-05
3,1.8985e-05
4,1.8514e-05
5,1.8836e-05
6,1.8585e-05
7,1.7713e-05
8,1.9326e-05
9,1.9627e-05
10,2.1601e-05
11,1.8605e-05
12,1.7744e-05
13,1.8013e-05
14,1.7804e-05
15,1.7954e-05
16,1.6952e-05
17,1.7213e-05
18,1.8645e-05
19,1.7493e-05
20,1.7222e-05
blocksize,elapsed_time
0,1.9016e-05
1,1.7482e-05
2,1.6952e-05
3,1.8274e-05
4,1.7362e-05
5,1.8926e-05
6,1.8875e-05
7,2.3133e-05
8,2.103e-05
9,2.1901e-05
10,1.9596e-05
11,2.4807e-05
12,2.3865e-05
13,1.8815e-05
14,2.086e-05
15,1.9397e-05
16,2.093e-05
17,2.0338e-05
18,1.9086e-05
19,2.0188e-05
20,1.9306e-05
blocksize,elapsed_time
0,1.9106e-05
1,1.9958e-05
2,2.1721e-05
3,1.7743e-05
4,2.1991e-05
5,1.8034e-05
6,1.7673e-05
7,1.7042e-05
8,1.7413e-05
9,1.6731e-05
10,1.7333e-05
11,1.6821e-05
12,1.6691e-05
13,1.7824e-05
14,3.701e-05
15,1.8976e-05
16,1.6821e-05
17,1.6811e-05
18,2.0368e-05
19,1.7253e-05
20,1.7323e-05
blocksize,elapsed_time
0,2.5217e-05
1,2.2302e-05
2,2.1671e-05
3,2.2051e-05
4,2.2011e-05
5,2.171e-05
6,2.2142e-05
7,2.2102e-05
8,2.2052e-05
9,2.2713e-05
10,2.2302e-05
11,2.1681e-05
12,2.1891e-05
13,2.2092e-05
